WorkClass,Education,MaritalStatus,Occupation,Salary,LessThen_50
Private,Bachelors,Divorced,Exec-managerial,<=50K,1
Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,<=50K,1
State-gov,Some-college,Married-civ-spouse,Other-service,<=50K,1
Private,11th,Never-married,Machine-op-inspct,<=50K,1
Private,Some-college,Never-married,Machine-op-inspct,<=50K,1
Private,HS-grad,Married-AF-spouse,Adm-clerical,<=50K,1
Private,Some-college,Married-civ-spouse,Sales,>50K,0
Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,<=50K,1
Private,9th,Married-civ-spouse,Machine-op-inspct,<=50K,1
Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,<=50K,1
Private,Bachelors,Married-civ-spouse,Tech-support,<=50K,1
Private,HS-grad,Separated,Adm-clerical,<=50K,1
Private,HS-grad,Never-married,Handlers-cleaners,<=50K,1
Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,>50K,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,Masters,Divorced,Exec-managerial,<=50K,1
State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,<=50K,1
Private,Assoc-voc,Never-married,Prof-specialty,<=50K,1
Private,Some-college,Married-civ-spouse,Exec-managerial,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,Prof-school,Married-civ-spouse,Prof-specialty,>50K,0
Federal-gov,Bachelors,Divorced,Exec-managerial,>50K,0
Self-emp-inc,HS-grad,Divorced,Exec-managerial,<=50K,1
Private,Some-college,Married-civ-spouse,Tech-support,>50K,0
Private,5th-6th,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,Assoc-voc,Married-civ-spouse,Other-service,<=50K,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,Bachelors,Married-civ-spouse,Sales,<=50K,1
?,7th-8th,Married-spouse-absent,?,<=50K,1
Private,HS-grad,Married-civ-spouse,Transport-moving,<=50K,1
Private,Doctorate,Married-civ-spouse,Prof-specialty,>50K,0
Private,Some-college,Divorced,Tech-support,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Divorced,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,>50K,0
Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,>50K,0
?,Some-college,Never-married,?,<=50K,1
Private,Some-college,Never-married,Prof-specialty,<=50K,1
Private,Bachelors,Separated,Sales,<=50K,1
Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,>50K,0
Private,Some-college,Never-married,Machine-op-inspct,<=50K,1
Private,Some-college,Married-civ-spouse,Prof-specialty,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,<=50K,1
?,10th,Married-civ-spouse,?,<=50K,1
Private,11th,Never-married,Other-service,<=50K,1
Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,<=50K,1
Private,HS-grad,Never-married,Sales,<=50K,1
Private,Bachelors,Married-civ-spouse,Other-service,<=50K,1
Private,HS-grad,Married-civ-spouse,Other-service,<=50K,1
Private,HS-grad,Married-civ-spouse,Sales,<=50K,1
Private,HS-grad,Divorced,Craft-repair,>50K,0
Private,HS-grad,Divorced,Sales,<=50K,1
Local-gov,HS-grad,Married-civ-spouse,Protective-serv,>50K,0
Private,Masters,Married-civ-spouse,Prof-specialty,<=50K,1
Private,9th,Never-married,Sales,<=50K,1
Federal-gov,Doctorate,Never-married,Prof-specialty,>50K,0
Private,Assoc-voc,Married-civ-spouse,Prof-specialty,<=50K,1
Private,Some-college,Divorced,Craft-repair,<=50K,1
Private,Some-college,Divorced,Machine-op-inspct,<=50K,1
Private,HS-grad,Married-civ-spouse,Sales,<=50K,1
Local-gov,Bachelors,Married-civ-spouse,Protective-serv,>50K,0
Local-gov,Some-college,Never-married,Handlers-cleaners,<=50K,1
Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,>50K,0
Private,Some-college,Married-civ-spouse,Sales,>50K,0
Private,Assoc-acdm,Divorced,Exec-managerial,<=50K,1
Federal-gov,HS-grad,Never-married,Other-service,<=50K,1
Private,Masters,Married-civ-spouse,Exec-managerial,>50K,0
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Self-emp-not-inc,Masters,Never-married,Prof-specialty,<=50K,1
Private,Some-college,Never-married,Tech-support,<=50K,1
Private,HS-grad,Never-married,Craft-repair,<=50K,1
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,>50K,0
?,10th,Never-married,?,<=50K,1
Private,11th,Never-married,Handlers-cleaners,<=50K,1
Local-gov,HS-grad,Never-married,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,<=50K,1
Private,Bachelors,Never-married,Sales,<=50K,1
Private,Prof-school,Married-civ-spouse,Prof-specialty,>50K,0
Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,>50K,0
Private,Some-college,Married-civ-spouse,Sales,<=50K,1
Private,HS-grad,Never-married,Machine-op-inspct,<=50K,1
Private,9th,Married-civ-spouse,Handlers-cleaners,<=50K,1
Self-emp-inc,Some-college,Married-civ-spouse,Sales,<=50K,1
Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,>50K,0
Private,Some-college,Married-civ-spouse,Sales,<=50K,1
Private,HS-grad,Never-married,Craft-repair,<=50K,1
Private,Some-college,Never-married,Other-service,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,<=50K,1
Private,Bachelors,Never-married,Exec-managerial,<=50K,1
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,>50K,0
Private,Some-college,Never-married,Other-service,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Never-married,Adm-clerical,<=50K,1
Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,>50K,0
?,HS-grad,Married-civ-spouse,?,<=50K,1
Private,Some-college,Divorced,Craft-repair,<=50K,1
Private,Assoc-acdm,Never-married,Sales,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Bachelors,Married-civ-spouse,Sales,<=50K,1
Private,Assoc-acdm,Divorced,Tech-support,<=50K,1
Federal-gov,Masters,Married-civ-spouse,Prof-specialty,>50K,0
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Assoc-voc,Married-civ-spouse,Adm-clerical,<=50K,1
Private,Some-college,Never-married,Sales,<=50K,1
Private,Some-college,Married-civ-spouse,Craft-repair,>50K,0
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Never-married,Sales,<=50K,1
Private,Some-college,Never-married,Other-service,<=50K,1
Private,Assoc-voc,Never-married,Prof-specialty,>50K,0
Private,Some-college,Never-married,Tech-support,<=50K,1
Private,HS-grad,Never-married,Transport-moving,<=50K,1
Private,Some-college,Married-civ-spouse,Other-service,<=50K,1
Private,HS-grad,Widowed,Other-service,<=50K,1
Private,11th,Married-civ-spouse,Craft-repair,<=50K,1
?,Some-college,Divorced,?,<=50K,1
Local-gov,Some-college,Divorced,Adm-clerical,<=50K,1
Private,HS-grad,Never-married,Adm-clerical,<=50K,1
Private,Bachelors,Never-married,Exec-managerial,<=50K,1
Private,HS-grad,Never-married,Craft-repair,<=50K,1
?,HS-grad,Divorced,?,>50K,0
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Bachelors,Never-married,Handlers-cleaners,<=50K,1
Self-emp-not-inc,Some-college,Separated,Sales,<=50K,1
Private,HS-grad,Divorced,Craft-repair,<=50K,1
Private,Bachelors,Separated,Other-service,<=50K,1
?,1st-4th,Divorced,?,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Self-emp-inc,Masters,Divorced,Exec-managerial,<=50K,1
Private,HS-grad,Never-married,Exec-managerial,<=50K,1
Self-emp-not-inc,Masters,Married-civ-spouse,Sales,>50K,0
Private,Some-college,Divorced,Other-service,<=50K,1
Federal-gov,Assoc-acdm,Never-married,Exec-managerial,<=50K,1
State-gov,Masters,Widowed,Protective-serv,<=50K,1
Private,11th,Never-married,Handlers-cleaners,<=50K,1
Local-gov,Assoc-voc,Widowed,Prof-specialty,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
State-gov,HS-grad,Married-civ-spouse,Protective-serv,<=50K,1
Private,Some-college,Married-civ-spouse,Sales,>50K,0
Private,Bachelors,Never-married,Craft-repair,<=50K,1
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,>50K,0
Private,HS-grad,Married-spouse-absent,Sales,<=50K,1
Private,HS-grad,Never-married,Craft-repair,<=50K,1
Private,HS-grad,Never-married,Handlers-cleaners,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,Bachelors,Married-civ-spouse,Prof-specialty,<=50K,1
Local-gov,Some-college,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Divorced,Adm-clerical,<=50K,1
Private,Some-college,Never-married,Craft-repair,<=50K,1
Private,7th-8th,Married-civ-spouse,Machine-op-inspct,>50K,0
Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,>50K,0
Private,HS-grad,Married-civ-spouse,Adm-clerical,<=50K,1
Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,<=50K,1
?,Bachelors,Divorced,?,<=50K,1
Private,Masters,Married-civ-spouse,Prof-specialty,<=50K,1
State-gov,Doctorate,Married-civ-spouse,Prof-specialty,>50K,0
Private,Some-college,Divorced,Machine-op-inspct,<=50K,1
Private,Some-college,Married-civ-spouse,Machine-op-inspct,<=50K,1
Local-gov,Bachelors,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Married-civ-spouse,Tech-support,<=50K,1
Federal-gov,Bachelors,Married-civ-spouse,Tech-support,<=50K,1
Private,5th-6th,Married-civ-spouse,Transport-moving,<=50K,1
Private,Some-college,Divorced,Craft-repair,<=50K,1
Federal-gov,Masters,Never-married,Exec-managerial,>50K,0
Private,Masters,Married-civ-spouse,Prof-specialty,>50K,0
Self-emp-not-inc,HS-grad,Never-married,Sales,<=50K,1
Private,Masters,Never-married,Prof-specialty,<=50K,1
?,HS-grad,Never-married,?,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Local-gov,Some-college,Never-married,Prof-specialty,<=50K,1
State-gov,HS-grad,Divorced,Adm-clerical,<=50K,1
Private,11th,Never-married,Sales,<=50K,1
Private,Bachelors,Married-civ-spouse,Other-service,>50K,0
Private,HS-grad,Divorced,Craft-repair,<=50K,1
Self-emp-inc,HS-grad,Married-civ-spouse,Sales,>50K,0
Private,11th,Never-married,Sales,<=50K,1
Local-gov,HS-grad,Married-civ-spouse,Transport-moving,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,>50K,0
Private,Some-college,Never-married,Sales,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,>50K,0
Private,Bachelors,Never-married,Exec-managerial,>50K,0
Private,Assoc-acdm,Divorced,Sales,<=50K,1
Private,Bachelors,Married-civ-spouse,Sales,<=50K,1
Private,Bachelors,Married-civ-spouse,Prof-specialty,<=50K,1
Private,10th,Never-married,Craft-repair,<=50K,1
Private,Some-college,Married-civ-spouse,Handlers-cleaners,<=50K,1
?,1st-4th,Divorced,?,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,<=50K,1
Local-gov,Preschool,Never-married,Machine-op-inspct,<=50K,1
Private,HS-grad,Never-married,Sales,<=50K,1
?,10th,Divorced,?,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,<=50K,1
Private,Assoc-voc,Widowed,Adm-clerical,<=50K,1
Private,HS-grad,Divorced,Adm-clerical,<=50K,1
Private,11th,Separated,Transport-moving,<=50K,1
Private,HS-grad,Divorced,Sales,<=50K,1
Private,Some-college,Never-married,Adm-clerical,<=50K,1
Private,Some-college,Divorced,Craft-repair,<=50K,1
Private,Prof-school,Never-married,Prof-specialty,>50K,0
State-gov,HS-grad,Married-civ-spouse,Other-service,<=50K,1
State-gov,Some-college,Never-married,Adm-clerical,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Local-gov,Masters,Married-civ-spouse,Exec-managerial,>50K,0
Private,HS-grad,Never-married,Transport-moving,<=50K,1
Private,Bachelors,Married-civ-spouse,Prof-specialty,>50K,0
Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,<=50K,1
State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,<=50K,1
?,Some-college,Never-married,?,<=50K,1
Private,Some-college,Divorced,Craft-repair,<=50K,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Adm-clerical,>50K,0
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,Assoc-acdm,Married-civ-spouse,Tech-support,>50K,0
Private,HS-grad,Married-civ-spouse,Adm-clerical,<=50K,1
Private,Prof-school,Married-civ-spouse,Prof-specialty,>50K,0
Private,Bachelors,Married-civ-spouse,Adm-clerical,<=50K,1
Local-gov,10th,Widowed,Other-service,<=50K,1
Local-gov,Some-college,Never-married,Adm-clerical,<=50K,1
Private,Some-college,Never-married,Transport-moving,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,>50K,0
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,HS-grad,Separated,Other-service,<=50K,1
Private,Assoc-voc,Widowed,Exec-managerial,<=50K,1
Private,7th-8th,Divorced,Craft-repair,<=50K,1
Private,Bachelors,Divorced,Prof-specialty,<=50K,1
Private,HS-grad,Married-civ-spouse,Sales,<=50K,1
Private,11th,Never-married,Other-service,<=50K,1
Private,Some-college,Married-civ-spouse,Sales,<=50K,1
Private,11th,Married-civ-spouse,Craft-repair,<=50K,1
Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,>50K,0
?,Some-college,Never-married,?,<=50K,1
Private,HS-grad,Married-civ-spouse,Exec-managerial,>50K,0
Private,Bachelors,Never-married,Prof-specialty,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,>50K,0
Private,HS-grad,Married-civ-spouse,Exec-managerial,>50K,0
Private,9th,Never-married,Other-service,<=50K,1
Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,<=50K,1
Local-gov,Masters,Never-married,Prof-specialty,<=50K,1
Private,HS-grad,Divorced,Prof-specialty,<=50K,1
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,<=50K,1
Private,Some-college,Married-civ-spouse,Craft-repair,>50K,0
Private,Some-college,Never-married,Exec-managerial,<=50K,1
Private,Some-college,Never-married,Tech-support,<=50K,1
Private,Some-college,Married-civ-spouse,Machine-op-inspct,>50K,0
Private,Bachelors,Never-married,Prof-specialty,<=50K,1
Local-gov,Some-college,Married-civ-spouse,Craft-repair,>50K,0
Private,Assoc-acdm,Divorced,Sales,<=50K,1
Private,Bachelors,Divorced,Prof-specialty,<=50K,1
Private,HS-grad,Never-married,Handlers-cleaners,<=50K,1
Federal-gov,Masters,Married-civ-spouse,Sales,>50K,0
Private,Prof-school,Married-civ-spouse,Prof-specialty,>50K,0
Private,Some-college,Divorced,Other-service,<=50K,1
Private,Bachelors,Never-married,Exec-managerial,<=50K,1
Private,7th-8th,Married-civ-spouse,Craft-repair,<=50K,1
Private,Bachelors,Married-civ-spouse,Prof-specialty,<=50K,1
Private,HS-grad,Divorced,Prof-specialty,<=50K,1
Local-gov,Bachelors,Never-married,Protective-serv,<=50K,1
Private,Some-college,Never-married,Sales,<=50K,1
Private,Bachelors,Never-married,Tech-support,<=50K,1
Private,HS-grad,Married-civ-spouse,Transport-moving,<=50K,1
Self-emp-inc,Bachelors,Divorced,Sales,<=50K,1
?,Masters,Married-civ-spouse,?,<=50K,1
Private,HS-grad,Never-married,Craft-repair,<=50K,1
Private,HS-grad,Divorced,Sales,<=50K,1
Private,Bachelors,Married-civ-spouse,Adm-clerical,>50K,0
Private,Some-college,Never-married,Other-service,<=50K,1
Private,HS-grad,Married-civ-spouse,Transport-moving,>50K,0
Private,HS-grad,Married-civ-spouse,Sales,>50K,0
Private,Some-college,Married-civ-spouse,Adm-clerical,<=50K,1
Private,HS-grad,Divorced,Adm-clerical,<=50K,1
Private,Assoc-acdm,Never-married,Tech-support,<=50K,1
Private,Assoc-acdm,Never-married,Prof-specialty,<=50K,1
Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,>50K,0
Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,>50K,0
Private,Bachelors,Never-married,Sales,<=50K,1
Private,Masters,Married-civ-spouse,Exec-managerial,>50K,0
?,Some-college,Never-married,?,<=50K,1
Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,>50K,0
Private,Some-college,Never-married,Sales,<=50K,1
Private,Some-college,Never-married,Machine-op-inspct,<=50K,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,<=50K,1
Private,5th-6th,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,Some-college,Never-married,Tech-support,<=50K,1
Private,HS-grad,Widowed,Other-service,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,<=50K,1
Private,Some-college,Married-civ-spouse,Craft-repair,<=50K,1
Private,HS-grad,Divorced,Transport-moving,<=50K,1
Private,11th,Never-married,Exec-managerial,<=50K,1
Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,<=50K,1
?,Assoc-voc,Never-married,?,<=50K,1
Private,Some-college,Married-civ-spouse,Prof-specialty,>50K,0
Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,<=50K,1
Private,HS-grad,Never-married,Transport-moving,<=50K,1
Private,Some-college,Never-married,Craft-repair,<=50K,1
Private,Bachelors,Never-married,Adm-clerical,<=50K,1
Private,Assoc-voc,Never-married,Other-service,<=50K,1
Local-gov,10th,Married-civ-spouse,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Transport-moving,<=50K,1
Private,5th-6th,Never-married,Other-service,<=50K,1
Private,HS-grad,Never-married,Craft-repair,<=50K,1
Private,Masters,Never-married,Prof-specialty,<=50K,1
Private,HS-grad,Never-married,Sales,<=50K,1
Private,HS-grad,Married-civ-spouse,Other-service,<=50K,1
Private,Assoc-acdm,Never-married,Sales,<=50K,1
Private,Assoc-voc,Married-civ-spouse,Craft-repair,>50K,0
State-gov,HS-grad,Married-civ-spouse,Protective-serv,>50K,0
Private,HS-grad,Never-married,Farming-fishing,<=50K,1
State-gov,Some-college,Never-married,Protective-serv,<=50K,1
Self-emp-not-inc,Bachelors,Never-married,Sales,<=50K,1
?,11th,Married-civ-spouse,?,<=50K,1
?,Assoc-voc,Divorced,?,<=50K,1
Private,Assoc-acdm,Married-spouse-absent,Other-service,<=50K,1
Private,Bachelors,Never-married,Prof-specialty,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,HS-grad,Married-civ-spouse,Other-service,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Local-gov,11th,Married-civ-spouse,Transport-moving,<=50K,1
?,Bachelors,Married-civ-spouse,?,>50K,0
Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,>50K,0
Private,11th,Widowed,Other-service,<=50K,1
Private,Assoc-voc,Married-civ-spouse,Tech-support,>50K,0
Private,HS-grad,Married-civ-spouse,Adm-clerical,<=50K,1
Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,<=50K,1
Private,10th,Married-civ-spouse,Other-service,<=50K,1
Private,Masters,Married-civ-spouse,Prof-specialty,>50K,0
Private,Bachelors,Married-civ-spouse,Transport-moving,<=50K,1
Private,Bachelors,Divorced,Exec-managerial,>50K,0
Private,HS-grad,Married-spouse-absent,Sales,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,<=50K,1
Private,Assoc-acdm,Never-married,Sales,<=50K,1
Private,Bachelors,Divorced,Exec-managerial,>50K,0
Private,HS-grad,Divorced,Sales,<=50K,1
Federal-gov,Some-college,Never-married,Adm-clerical,<=50K,1
Private,11th,Never-married,Other-service,<=50K,1
State-gov,Assoc-voc,Married-civ-spouse,Machine-op-inspct,>50K,0
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,HS-grad,Never-married,Craft-repair,<=50K,1
Local-gov,Some-college,Never-married,Adm-clerical,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Never-married,Sales,<=50K,1
Self-emp-not-inc,Masters,Divorced,Exec-managerial,<=50K,1
Private,HS-grad,Married-civ-spouse,Sales,<=50K,1
Private,HS-grad,Divorced,Transport-moving,<=50K,1
Private,5th-6th,Divorced,Craft-repair,<=50K,1
Private,Some-college,Married-civ-spouse,Craft-repair,<=50K,1
Private,Some-college,Divorced,Sales,<=50K,1
Local-gov,Some-college,Married-civ-spouse,Transport-moving,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,HS-grad,Separated,Machine-op-inspct,<=50K,1
Private,Some-college,Married-civ-spouse,Adm-clerical,>50K,0
Private,Some-college,Never-married,Adm-clerical,<=50K,1
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,HS-grad,Married-civ-spouse,Other-service,>50K,0
Private,Bachelors,Never-married,Craft-repair,<=50K,1
Self-emp-not-inc,Assoc-acdm,Separated,Craft-repair,<=50K,1
State-gov,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,HS-grad,Never-married,Other-service,<=50K,1
Private,Some-college,Married-civ-spouse,Tech-support,<=50K,1
Private,Some-college,Divorced,Handlers-cleaners,<=50K,1
?,HS-grad,Never-married,?,<=50K,1
Private,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,Some-college,Never-married,Handlers-cleaners,<=50K,1
Private,Some-college,Never-married,Other-service,<=50K,1
State-gov,Bachelors,Married-civ-spouse,Protective-serv,>50K,0
Private,Assoc-voc,Divorced,Tech-support,<=50K,1
Private,7th-8th,Married-civ-spouse,Handlers-cleaners,<=50K,1
Private,Masters,Married-civ-spouse,Exec-managerial,>50K,0
Private,HS-grad,Married-civ-spouse,Adm-clerical,<=50K,1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
?,Some-college,Married-civ-spouse,?,>50K,0
Private,Some-college,Married-civ-spouse,Exec-managerial,<=50K,1
Local-gov,Some-college,Divorced,Other-service,<=50K,1
Private,HS-grad,Never-married,Handlers-cleaners,<=50K,1
Private,Some-college,Divorced,Exec-managerial,<=50K,1
Private,Doctorate,Married-civ-spouse,Exec-managerial,>50K,0
State-gov,Some-college,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,12th,Divorced,Craft-repair,>50K,0
Private,1st-4th,Married-civ-spouse,Machine-op-inspct,<=50K,1
Private,11th,Never-married,Other-service,<=50K,1
Local-gov,11th,Separated,Machine-op-inspct,<=50K,1
State-gov,HS-grad,Divorced,Transport-moving,<=50K,1
Private,Some-college,Married-civ-spouse,Sales,<=50K,1
Private,11th,Never-married,Handlers-cleaners,<=50K,1
State-gov,Bachelors,Married-civ-spouse,Exec-managerial,>50K,0
Private,HS-grad,Divorced,Farming-fishing,<=50K,1
Private,10th,Never-married,Craft-repair,<=50K,1
Private,HS-grad,Married-civ-spouse,Transport-moving,<=50K,1
Federal-gov,Masters,Never-married,Prof-specialty,<=50K,1
Private,HS-grad,Never-married,Handlers-cleaners,<=50K,1
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,>50K,0
Local-gov,Masters,Married-civ-spouse,Prof-specialty,<=50K,1
?,HS-grad,Widowed,?,<=50K,1
?,11th,Never-married,?,<=50K,1
Self-emp-not-inc,Bachelors,Married-spouse-absent,Prof-specialty,<=50K,1
Private,Assoc-acdm,Married-civ-spouse,Other-service,>50K,0
Private,Some-college,Never-married,Craft-repair,<=50K,1
Private,Masters,Married-civ-spouse,Prof-specialty,>50K,0
Local-gov,HS-grad,Never-married,Farming-fishing,<=50K,1
Local-gov,Some-college,Never-married,Protective-serv,<=50K,1
Private,Some-college,Married-civ-spouse,Adm-clerical,<=50K,1
Local-gov,Some-college,Married-civ-spouse,Adm-clerical,<=50K,1
Private,Bachelors,Never-married,Prof-specialty,<=50K,1
Private,HS-grad,Divorced,Adm-clerical,<=50K,1
Federal-gov,HS-grad,Never-married,Armed-Forces,<=50K,1
Private,Some-college,Married-civ-spouse,Prof-specialty,>50K,0
Private,9th,Never-married,Craft-repair,<=50K,1
Private,Some-college,Never-married,Sales,<=50K,1
Private,HS-grad,Widowed,Exec-managerial,<=50K,1
Private,HS-grad,Married-civ-spouse,Craft-repair,<=50K,1
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,<=50K,1
?,11th,Never-married,?,<=50K,1
Private,HS-grad,Never-married,Machine-op-inspct,<=50K,1
Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,>50K,0
Private,HS-grad,Married-civ-spouse,Craft-repair,>50K,0
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,>50K,0
